run_type,cadence,profile,seed,arm,policy,gate_class,irreversible,mode,n,n_agree,n_false_proceed,n_false_stop,n_proceed,n_oracle_proceed,lookups,bytes_read
main,10,med,0,prose,archive_all_axes_floor,reconstruction,False,blind,100,100,0,0,60,60,0,0
main,10,med,0,prose,audit_requires_clean_window,lineage_allowlist,False,blind,100,36,0,64,16,80,0,0
main,10,med,0,prose,draft_reply_capability,score,False,blind,100,100,0,0,81,81,0,0
main,10,med,0,prose,payment_no_untrusted_taint,lineage_blocklist,True,blind,100,93,7,0,66,59,0,0
main,10,med,0,prose,publish_discounted_thresholds,reconstruction,False,blind,100,100,0,0,83,83,0,0
main,10,med,0,prose,send_email_fresh_verified,score,True,blind,100,100,0,0,61,61,0,0
main,10,med,0,prose,send_wire_clean_window,lineage_allowlist,True,blind,100,40,0,60,16,76,0,0
main,10,med,0,prose,summarize_freshness_strict,score,False,blind,100,100,0,0,60,60,0,0
main,10,med,0,prose,summarize_no_unverified_taint,lineage_blocklist,False,blind,100,95,5,0,67,62,0,0
main,10,med,0,structural_min,archive_all_axes_floor,reconstruction,False,blind,100,72,0,28,32,60,0,0
main,10,med,0,structural_min,audit_requires_clean_window,lineage_allowlist,False,blind,100,82,0,18,62,80,0,0
main,10,med,0,structural_min,audit_requires_clean_window,lineage_allowlist,False,degrade,100,82,0,18,62,80,0,0
main,10,med,0,structural_min,audit_requires_clean_window,lineage_allowlist,False,rehydrate,100,100,0,0,80,80,480,58409
main,10,med,0,structural_min,draft_reply_capability,score,False,blind,100,100,0,0,81,81,0,0
main,10,med,0,structural_min,payment_no_untrusted_taint,lineage_blocklist,True,blind,100,81,19,0,78,59,0,0
main,10,med,0,structural_min,payment_no_untrusted_taint,lineage_blocklist,True,degrade,100,98,0,2,57,59,0,0
main,10,med,0,structural_min,payment_no_untrusted_taint,lineage_blocklist,True,rehydrate,100,100,0,0,59,59,896,109633
main,10,med,0,structural_min,publish_discounted_thresholds,reconstruction,False,blind,100,44,0,56,27,83,0,0
main,10,med,0,structural_min,send_email_fresh_verified,score,True,blind,100,100,0,0,61,61,0,0
main,10,med,0,structural_min,send_wire_clean_window,lineage_allowlist,True,blind,100,84,0,16,60,76,0,0
main,10,med,0,structural_min,send_wire_clean_window,lineage_allowlist,True,degrade,100,84,0,16,60,76,0,0
main,10,med,0,structural_min,send_wire_clean_window,lineage_allowlist,True,rehydrate,100,100,0,0,76,76,480,58409
main,10,med,0,structural_min,summarize_freshness_strict,score,False,blind,100,100,0,0,60,60,0,0
